date,region,state,industry,yoy_pct,pos_yoy,state_contribution,region_contribution,topN_flag
2022-01,West,AK,All Industries,3.594444444444445,3.594444444444445,0.009907303167764489,0.32276064323050985,Other
2022-01,South,AL,All Industries,4.806666666666667,4.806666666666667,0.013248529676583978,0.3335943634641936,Other
2022-01,South,AR,All Industries,5.038888888888889,5.038888888888889,0.013888599649400911,0.3335943634641936,Other
2022-01,West,AZ,All Industries,12.516666666666667,12.516666666666667,0.03449946528125717,0.32276064323050985,Top5
2022-01,West,CA,All Industries,12.66388888888889,12.66388888888889,0.03490525126880858,0.32276064323050985,Top5
2022-01,West,CO,All Industries,9.258333333333335,9.258333333333335,0.025518579179411933,0.32276064323050985,Other
2022-01,Northeast,CT,All Industries,4.430555555555556,4.430555555555556,0.012211861323480958,0.11634358956140817,Other
2022-01,South,DC,All Industries,12.069444444444443,12.069444444444443,0.03326679463982743,0.3335943634641936,Top5
2022-01,South,DE,All Industries,4.759999999999999,4.759999999999999,0.013119903174869567,0.3335943634641936,Other
2022-01,South,FL,All Industries,12.216666666666667,12.216666666666667,0.03367258062737884,0.3335943634641936,Top5
2022-01,South,GA,All Industries,9.39722222222222,9.39722222222222,0.025901396148800042,0.3335943634641936,Other
2022-01,West,HI,All Industries,5.44,5.44,0.014994175056993797,0.32276064323050985,Other
2022-01,Midwest,IA,All Industries,9.563888888888888,9.563888888888888,0.026360776512065785,0.2273014037438888,Top10
2022-01,West,ID,All Industries,11.036111111111111,11.036111111111111,0.030418636387579835,0.32276064323050985,Top10
2022-01,Midwest,IL,All Industries,9.03611111111111,9.03611111111111,0.024906072028390937,0.2273014037438888,Other
2022-01,Midwest,IN,All Industries,8.152777777777777,8.152777777777777,0.02247135610308251,0.2273014037438888,Other
2022-01,Midwest,KS,All Industries,5.486111111111111,5.486111111111111,0.015121270290830649,0.2273014037438888,Other
2022-01,South,KY,All Industries,5.002777777777777,5.002777777777777,0.01378906723736,0.3335943634641936,Other
2022-01,South,LA,All Industries,6.050000000000001,6.050000000000001,0.01667550718654641,0.3335943634641936,Other
2022-01,Northeast,MA,All Industries,5.458333333333333,5.458333333333333,0.015044706896953025,0.11634358956140817,Other
2022-01,South,MD,All Industries,7.877777777777777,7.877777777777777,0.021713378503694036,0.3335943634641936,Other
2022-01,Northeast,ME,All Industries,5.1499999999999995,5.1499999999999995,0.014194853224911404,0.11634358956140817,Other
2022-01,Midwest,MI,All Industries,8.594444444444445,8.594444444444445,0.023688714065736728,0.2273014037438888,Other
2022-01,Midwest,MN,All Industries,9.191666666666668,9.191666666666668,0.025334827034105636,0.2273014037438888,Other
2022-01,Midwest,MO,All Industries,6.824999999999999,6.824999999999999,0.018811625875732103,0.2273014037438888,Other
2022-01,South,MS,All Industries,3.5916666666666663,3.5916666666666663,0.009899646828376723,0.3335943634641936,Other
2022-01,West,MT,All Industries,9.126666666666667,9.126666666666667,0.025155668692431993,0.32276064323050985,Other
2022-01,South,NC,All Industries,7.675000000000001,7.675000000000001,0.02115446572838739,0.3335943634641936,Other
2022-01,Midwest,ND,All Industries,0.6777777777777776,0.6777777777777776,0.001868146810614014,0.2273014037438888,Other
2022-01,Midwest,NE,All Industries,7.925000000000001,7.925000000000001,0.021843536273285998,0.2273014037438888,Other
2022-01,Northeast,NH,All Industries,7.947222222222223,7.947222222222223,0.0219047869883881,0.11634358956140817,Other
